"Data Source","World Development Indicators",

"Last Updated Date","2024-10-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023",
"Aruba","ABW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","16111.8431988896","18732.2638281266","22266.3448241593","24865.1774200949","25411.1681072329","26564.6616528519","27194.4145483227","28307.3771729305","29666.2309178735","29497.9635357808","28958.1438008495","30074.4062421339","29765.5151656038","29262.6158770092","30703.6611910797","31426.8787422126","30760.2075543168","30793.1349648149","32742.76074691","32291.7695371212","32272.2511892054","32863.3627835216","33053.7675856288","28836.0174766105","27732.2139052929","28398.5575774698","27876.2063962026","29447.5799994559","28780.6308574466","28419.2645344661","28737.8964851926","30598.6490228535","31172.8025129725","30317.6073875484","23015.7420450767","29390.3809530373","32492.1788775214","",
"Africa Eastern and Southern","AFE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1169.16462440405","1144.10867010595","1201.30015748817","1234.7735975089","1257.12798595929","1285.22126431153","1310.42521861017","1342.84448819575","1359.40053348675","1388.2093456487","1364.27586273187","1398.19960348826","1397.0941624823","1419.81595153331","1454.03760972025","1432.05055381904","1423.78198943319","1399.66716767448","1379.34132183358","1376.31314902192","1409.62242984807","1423.29781939696","1384.501039324","1344.31299682734","1349.89594526607","1309.44201322457","1299.76274304946","1311.13440716584","1328.37180740544","1326.47251035821","1291.29727050593","1255.05386899751","1194.04854221934","1156.24567995177","1148.12269266216","1166.64986414815","1198.02399420515","1212.72061995852","1203.77403963405","1204.90430190117","1212.37712300742","1223.25160445364","1237.97555874199","1242.14535287991","1277.38934088707","1320.91939479882","1370.75905920203","1422.78245875003","1445.00742212705","1418.63432683542","1452.8148924309","1471.63415425157","1457.53673624625","1478.38491893964","1495.76436190656","1498.80508358802","1490.85968760001","1490.79764777701","1490.70105690211","1483.41565936888","1404.55453762636","1430.42477123168","1444.52296162055","1445.80112832401",
"Afghanistan","AFG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","317.584470493786","285.502193911933","344.224180834998","347.415239227515","338.739396092888","363.541467336977","367.485849348994","410.861610383694","418.523170604681","490.272834014231","544.689294061525","527.197336508957","570.676061364151","582.103975873526","576.487817324819","566.881129708434","564.920840615235","563.488236495596","553.973306037506","559.140953983718","529.144909726945","407.616505242601","372.615894847401","",
"Africa Western and Central","AFW","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","1108.16243398129","1105.53262069626","1122.43742841801","1176.86139233069","1213.64911601681","1235.72695475911","1189.68713053737","1057.34595429922","1049.78019533929","1182.56219516626","1358.13266865168","1466.69366390168","1477.29077042703","1499.09363462517","1608.06535842427","1532.24893587648","1618.40995451836","1647.56925111229","1571.21665473467","1605.55303268863","1591.09010843537","1441.88486835214","1355.08597444415","1235.25273779674","1209.88228572146","1241.61815094589","1225.2815731249","1209.66614057169","1233.14932594854","1220.52892688983","1257.61144976982","1237.77211868896","1234.7989916148","1186.8247739576","1152.66354396541","1143.9745307755","1165.83534077521","1185.79401122254","1196.03758093162","1182.51436683682","1195.29087201524","1223.30635937634","1307.9760783801","1342.53375411557","1409.95582480549","1450.91766871867","1486.78372559586","1525.74042479396","1576.90683193421","1629.62265915117","1694.96924106361","1727.93727577387","1766.97203396373","1824.48479760788","1880.85879743829","1882.51880807768","1835.38722851563","1827.85840573529","1830.94562280839","1841.43611582242","1776.47413406784","1801.09277468254","1822.95546017158","1837.21171758696",
"Angola","AGO","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","2768.68330684433","2554.43296094813","2464.30129518381","2476.58082375277","2532.10029183879","2527.96093927098","2510.14855929317","2524.31883430281","2590.32913641802","2505.49812198355","2339.4735610838","2285.37319337246","2083.1566629752","1534.26313753154","1505.86974101131","1675.70809067559","1840.35408233832","1909.46893678705","1934.5579476363","1913.99891888388","1909.5020620136","1925.50803001238","2116.85167905643","2106.98586428642","2257.15235995983","2505.65502911723","2696.44109550935","2964.33544957422","3176.67216178097","3087.81142958911","3105.44965509745","3094.73391488944","3235.17460430041","3270.96634497214","3304.68114752866","3217.33924005417","3023.91631900009","2914.12713925236","2777.84304168235","2666.25391548367","2435.02485427339","2387.42990701717","2385.11995566245","2333.71877506136",
"Albania","ALB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","","","","","","","","","","","1740.50583847766","1804.01077946774","1818.36782013759","1799.87861664229","1740.3476817517","1735.2903123439","1798.01507982468","1748.57872030222","1691.53094901661","1808.64607818532","1606.29646776458","1163.49159838489","1086.4387714304","1197.58090750054","1305.00106057165","1488.02088119627","1633.55200001885","1464.29796254199","1603.64765027651","1821.87313102694","1960.88245974115","2143.52683947815","2247.49808010881","2380.64462078713","2522.44937446209","2675.50863709675","2851.36775919961","3044.89661682055","3298.47890843532","3432.1708719722","3577.11432498868","3678.04770145146","3736.34007957648","3780.69919254096","3855.76074409659","3952.80357364813","4090.37272829183","4249.8200493985","4431.55559506989","4543.38771048312","4418.66087378292","4857.11194201819","5155.29085964151","5394.18241000709",
"Andorra","AND","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","43258.8983295907","42166.1329915334","42586.6277099665","42965.936992783","42570.3512625372","40266.2382971569","39247.9216246306","38203.6424979403","36828.8367066519","35152.043611406","34446.3610114661","33120.9435137285","32134.1530390561","31219.5554261991","30459.1311961894","30008.0418629932","29764.0872652595","30076.358726084","30323.2995305711","30565.1246508575","30578.0600025164","30301.629920381","29596.0221717198","28363.3389412823","28144.3743971676","28051.3900228678","28797.8532010859","31149.3556530509","31895.9807843604","32966.236846457","33901.1769735096","35722.5288901566","35749.9289119891","37250.295189537","38696.4946069776","39307.1408551822","40994.4476088348","42724.5671994464","41470.4379328172","40442.7851067907","40937.2740669219","41486.1994746048","39174.8972867328","37597.7053313215","38402.6492611904","38885.5303222983","39886.6400844155","39321.6143090537","39320.0924463621","39413.790877787","34394.4140397243","36616.1007608814","39720.951858885","40161.7695253033",
"Arab World","ARB","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","2318.31590923113","2406.29814356411","2592.52315338668","2708.21219113621","3220.36361843974","3416.27274310617","3834.65898054482","4249.38520416655","4565.77250378623","4350.23264821135","4846.89577603403","5016.20358282838","4892.59164184155","5255.27698615014","5393.70196987373","5247.48100580116","4691.85639972228","4303.07820540201","4224.83737233617","4046.6163198466","4059.98017028037","3912.70505679019","4003.58794851367","4040.27235641599","4289.59407119461","4257.7099114869","4415.27578460561","4410.59546606943","4430.00855138145","4439.95102570176","4534.74620050506","4648.80969966849","4763.7207406056","4743.79497740172","4943.78370028588","4916.36652732193","4841.80990815737","4969.09601284167","5294.69054826602","5456.80288339561","5649.71746630005","5749.82289830924","5909.0899306809","5781.09249176107","5915.22328108342","5996.19731323797","6163.26806391183","6176.53352175478","6184.05219256416","6258.60722652973","6350.53133204611","6315.84749940046","6348.44634514788","6324.08975235336","5879.17698534988","6081.27425507157","6320.536509978","6263.55667122628",
"United Arab Emirates","ARE","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","","","","","","","","","","","47203.4491094172","55795.1995196005","68135.3386591122","106937.568852049","109895.254632156","105688.087073863","108961.571494693","114972.043167505","99322.2996323068","106457.493924831","118141.529557245","113965.833300451","100147.66798184","90020.9728056599","88572.8594347944","80981.753483918","64687.5606810148","62325.6331867482","56808.4141411291","59965.2317976048","66911.0893510297","63849.7197105129","62622.6869115677","60359.1142356048","61592.2252069936","62877.6840777429","62935.9847391834","63791.5940632344","60144.8145637706","58365.15517882","61187.7697523684","58831.0896731186","57286.4960660817","59389.5103582219","62139.5869346245","60778.4686132763","58336.562719987","50214.1370949825","43541.9700021647","36076.5277343923","34540.9715074645","36288.33318312","36567.6222922399","38034.9683997314","39242.2753125752","41525.1389043587","43457.5134835549","43419.5637443127","43644.1470474986","43785.4172712311","41276.0555134414","42715.4401735558","45698.0105290114","46877.428687674",
"Argentina","ARG","GDP per capita (constant 2015 US$)","NY.GDP.PCAP.KD","7410.30502869639","7687.5173380417","7498.8400606558","6986.56480206001","7572.2311661756","8241.52933666809","8059.45043146279","8187.37335067668","8450.03706417302","9126.18647909255","9257.89557164576","9628.03783789492","9630.01036600914","9739.41627064185","10105.0495075297","9935.93863469002","9581.84140311136","10083.8151828918","9476.06343622627","10278.9246238181","10270.9561180014","9585.20677182144","9366.17037951494","9622.34731895272","9624.40455636866","8987.93370569176","9397.88360849477","9507.33981264281","9262.96392660836","8473.02656895128","8144.49429397801","8762.66138351332","9327.8594509636","9957.25652230492","10397.3792874496","9969.33157579723","10388.5387104408","11097.3820634618","11391.9451576314","10880.2062074837","10672.7220353121","10090.6534434286","8895.31964210751","9581.96979219468","10341.6434058805","11141.3106718375","11913.9585322637","12857.0925770961","13246.6348917152","12336.8619385237","13551.3391940229","14200.2698890608","13895.6337072986","14071.5086831557","13567.9484159809","13789.060424772","13360.2118345982","13595.0373551081","13105.397163317","12716.2242038544","11346.6521128461","12444.3182669731","12940.7384352157","12625.4695509096",
